0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
,,,,,,,,,,,,,,,300,300,600,600,900,900,1500,1500,2100,2100,3000,3000,4500,4500,,,,,,,,
2/1/2024,2024-02-01 01:52:06.799216+00:00,FALSE,FALSE,43466,43466 - COLOMBO,2024-02-01 00:00:00+00:00,DA,DJ,,CU,20000,0,0,,4.152632294,196.6999306,4.579596875,210.5040377,0.951779741,247.0007267,1.887195034,328.936093,3.142540326,358.2076979,2.160318437,354.0066906,1.685029625,17.80878536,2.153196804,33.36621634,2.100670338,26.31123126,3.639401448,13.39921787,3.709969885,24.83068285
2/1/2024,2024-02-01 06:38:34.643815+00:00,TRUE,FALSE,43466,43466 - COLOMBO,2024-02-01 06:00:00+00:00,NP,DJ,,CU,20000,0,5,,5.910049512,279.5336662,5.813323908,301.0153494,2.309767965,14.52396478,2.537452096,45.7112608,2.845500431,23.23145662,4.596842581,20.06002327,5.899741083,19.15335768,6.662197277,30.08716539,4.944126772,34.3674497,1.60190426,63.26151595,1.799412203,128.1672473
2/1/2024,2024-02-01 11:44:42.430813+00:00,FALSE,FALSE,43466,43466 - COLOMBO,2024-02-01 12:00:00+00:00,DJ,NP,3,CU,20000,,2.8,,3.086607992,324.3856418,3.995107431,3.989011996,7.405450431,23.81873782,7.935573621,26.23409614,,,,,,,,,,,,,,
2/2/2024,2024-02-02 01:26:41.310700+00:00,FALSE,FALSE,43466,43466 - COLOMBO,2024-02-02 00:00:00+00:00,DJ,DA,3,CI,20000,0,0,,4.190311766,213.3493057,7.196274363,202.2666137,6.160623066,197.7468845,1.371092512,213.6141745,,,,,,,,,,,,,,
2/2/2024,2024-02-02 06:21:07.193365+00:00,TRUE,FALSE,43466,43466 - COLOMBO,2024-02-02 06:00:00+00:00,CS,AA,2,CU,20000,0,4.2,,2.841330288,283.284621,0.762893558,306.0509107,0.921555507,299.2802782,3.818011611,40.87738371,7.919102015,39.13805528,5.567498317,57.25601773,6.429296097,42.69576538,4.383631725,38.28206286,3.251158103,38.26277386,1.788791619,6.872843683,2.330648338,307.5447827
2/3/2024,2024-02-03 01:15:02.551763+00:00,FALSE,FALSE,43466,43466 - COLOMBO,2024-02-03 00:00:00+00:00,AA,WD,2,CU,15000,0,0,,3.761202343,255.5106235,2.155559895,234.5225639,3.226803765,83.39554196,,,,,,,,,,,,,,,,
2/3/2024,2024-02-03 05:38:26.747805+00:00,FALSE,FALSE,43466,43466 - COLOMBO,2024-02-03 06:00:00+00:00,CS,AA,3,CU,18000,0,3.6,,4.076788884,286.0303552,2.677763116,288.7595876,,,,,,,,,,,,,,,,,,
2/3/2024,2024-02-03 11:54:27.057116+00:00,FALSE,FALSE,43466,43466 - COLOMBO,2024-02-03 12:00:00+00:00,KBC Sampath,AAP Pathiba,3,cu,20000,0,9,,5.275599614,321.9677166,,,,,,,,,,,,,,,,,,,,
2/4/2024,2024-02-04 01:13:43.235088+00:00,FALSE,FALSE,43466,43466 - COLOMBO,2024-02-04 00:00:00+00:00,AAP Prathibha,WDGK Wanasinghe,10,CU,10000,0,3.2,,3.285799566,52.4429888,1.858882417,240.1560473,,,,,,,,,,,,,,,,,,
